Waste flow,PACE,As a byproduct,As a process impurity,Chemical price,Efficiency,Type of waste,As a manufactured impurity,Concentration,PAOC,PCU,Probability
6,6,No,No,4,E3,L,No,2,4,B11,0.0
6,6,No,No,4,E3,L,No,2,4,B31,0.0
6,6,No,No,4,E3,L,No,2,4,P42,0.0
6,6,No,No,4,E3,L,No,2,4,B99,0.0
6,6,No,No,4,E3,L,No,2,4,F01,0.0
6,6,No,No,4,E3,L,No,2,4,C46,0.0
6,6,No,No,4,E3,L,No,2,4,P01,0.0
6,6,No,No,4,E3,L,No,2,4,C99,0.0
6,6,No,No,4,E3,L,No,2,4,P99,0.0
6,6,No,No,4,E3,L,No,2,4,C11,0.0
6,6,No,No,4,E3,L,No,2,4,P21,0.0
6,6,No,No,4,E3,L,No,2,4,F99,0.0
6,6,No,No,4,E3,L,No,2,4,C31,0.0
6,6,No,No,4,E3,L,No,2,4,F51,0.0
6,6,No,No,4,E3,L,No,2,4,F11,0.0
6,6,No,No,4,E3,L,No,2,4,P19,0.0
6,6,No,No,4,E3,L,No,2,4,A03,0.0
6,6,No,No,4,E3,L,No,2,4,F71,0.0
6,6,No,No,4,E3,L,No,2,4,A07,0.0
6,6,No,No,4,E3,L,No,2,4,A05,0.0
6,6,No,No,4,E3,L,No,2,4,F81,0.0
6,6,No,No,4,E3,L,No,2,4,A02,0.0
6,6,No,No,4,E3,L,No,2,4,A06,0.0
6,6,No,No,4,E3,L,No,2,4,F19,0.0
6,6,No,No,4,E3,L,No,2,4,A04,0.0
6,6,No,No,4,E3,L,No,2,4,A01,0.0
6,6,No,No,4,E3,L,No,2,4,P12,0.0
6,6,No,No,4,E3,L,No,2,4,P13,0.0
6,6,No,No,4,E3,L,No,2,4,P11,0.0
6,6,No,No,4,E3,L,No,2,4,U01,0.0
6,6,No,No,4,E3,L,No,2,4,U02,0.0
6,6,No,No,4,E3,L,No,2,4,U03,0.0
6,6,No,No,4,E3,L,No,2,4,R99,0.0
6,6,No,No,4,E3,L,No,2,4,R19,0.0
6,6,No,No,4,E3,L,No,2,4,R11,0.0
6,6,No,No,4,E3,L,No,2,4,R13,0.0
6,6,No,No,4,E3,L,No,2,4,F83,0.0
