PCU,PCU-probability,Type_of_waste_management,Type_of_waste_management-probability
B11,0.03333333333333329,Treatment,1.0
B31,0.03333333333333329,Treatment,1.0
P42,0.03333333333333329,Treatment,1.0
B99,0.03333333333333329,Treatment,1.0
F01,0.03333333333333329,Treatment,1.0
C46,0.03333333333333329,Treatment,1.0
P01,0.03333333333333329,Treatment,1.0
C99,0.03333333333333329,Treatment,1.0
P99,0.03333333333333329,Treatment,1.0
C11,0.03333333333333329,Treatment,1.0
P21,0.03333333333333329,Treatment,1.0
F99,0.03333333333333329,Treatment,1.0
C31,0.03333333333333329,Treatment,1.0
F51,0.03333333333333329,Treatment,1.0
F11,0.03333333333333329,Treatment,1.0
P19,0.03333333333333329,Treatment,1.0
A03,0.03333333333333329,Treatment,1.0
F71,0.03333333333333329,Treatment,1.0
A07,0.03333333333333329,Treatment,1.0
A05,0.03333333333333329,Treatment,1.0
F81,0.03333333333333329,Treatment,1.0
A02,0.03333333333333329,Treatment,1.0
A06,0.03333333333333329,Treatment,1.0
F19,0.03333333333333329,Treatment,1.0
A04,0.03333333333333329,Treatment,1.0
A01,0.03333333333333329,Treatment,1.0
P12,0.03333333333333329,Treatment,1.0
P13,0.03333333333333329,Treatment,1.0
P11,0.03333333333333329,Treatment,1.0
U01,0.0,Energy recovery,0.0
U02,0.0,Energy recovery,0.0
U03,0.0,Energy recovery,0.0
R99,0.0,Recycling,0.0
R19,0.0,Recycling,0.0
R11,0.0,Recycling,0.0
R13,0.0,Recycling,0.0
F83,0.03333333333333329,Treatment,1.0
