Type of waste,PAOC,Waste flow,As a byproduct,As a process impurity,PACE,As a manufactured impurity,Efficiency,Chemical price,Concentration,PCU,Probability
W,4,5,No,No,4,No,E4,3,2,P11,6.797009234737615e-06
W,4,5,No,No,4,No,E4,3,2,B21,2.330403166195754e-06
W,4,5,No,No,4,No,E4,3,2,B11,0.00010914054828350116
W,4,5,No,No,4,No,E4,3,2,C11,0.0
W,4,5,No,No,4,No,E4,3,2,B31,3.107204221594341e-06
W,4,5,No,No,4,No,E4,3,2,P01,0.0
W,4,5,No,No,4,No,E4,3,2,P12,0.0
W,4,5,No,No,4,No,E4,3,2,P09,0.0
W,4,5,No,No,4,No,E4,3,2,P15,0.0
W,4,5,No,No,4,No,E4,3,2,P13,0.0
W,4,5,No,No,4,No,E4,3,2,F71,0.0
W,4,5,No,No,4,No,E4,3,2,P21,3.884005276992925e-07
W,4,5,No,No,4,No,E4,3,2,F01,0.0
W,4,5,No,No,4,No,E4,3,2,F11,0.0
W,4,5,No,No,4,No,E4,3,2,C01,1.9420026384964626e-07
W,4,5,No,No,4,No,E4,3,2,R11,0.0
W,4,5,No,No,4,No,E4,3,2,P42,0.0
W,4,5,No,No,4,No,E4,3,2,F41,0.0
W,4,5,No,No,4,No,E4,3,2,F83,0.0
W,4,5,No,No,4,No,E4,3,2,A02,0.0
W,4,5,No,No,4,No,E4,3,2,P41,0.0
W,4,5,No,No,4,No,E4,3,2,C44,0.0
W,4,5,No,No,4,No,E4,3,2,A01,0.0
W,4,5,No,No,4,No,E4,3,2,A03,0.0
W,4,5,No,No,4,No,E4,3,2,R13,0.0
W,4,5,No,No,4,No,E4,3,2,P17,0.0
W,4,5,No,No,4,No,E4,3,2,P14,0.0
W,4,5,No,No,4,No,E4,3,2,F81,0.0
W,4,5,No,No,4,No,E4,3,2,F31,0.0
W,4,5,No,No,4,No,E4,3,2,F51,0.0
W,4,5,No,No,4,No,E4,3,2,F19,0.0
W,4,5,No,No,4,No,E4,3,2,R12,0.0
W,4,5,No,No,4,No,E4,3,2,F82,0.0
W,4,5,No,No,4,No,E4,3,2,A05,0.0
W,4,5,No,No,4,No,E4,3,2,A04,0.0
W,4,5,No,No,4,No,E4,3,2,A06,0.0
W,4,5,No,No,4,No,E4,3,2,F42,0.0
W,4,5,No,No,4,No,E4,3,2,U03,0.0
W,4,5,No,No,4,No,E4,3,2,U02,0.0
W,4,5,No,No,4,No,E4,3,2,U01,0.0
W,4,5,No,No,4,No,E4,3,2,R14,0.0
W,4,5,No,No,4,No,E4,3,2,P61,0.0
