PCU,PCU-probability,Type_of_waste_management,Type_of_waste_management-probability
B11,0.0,Treatment,0.9273285568065497
P15,0.0,Treatment,0.9273285568065497
P42,0.0,Treatment,0.9273285568065497
P41,0.0,Treatment,0.9273285568065497
B21,0.0,Treatment,0.9273285568065497
P14,0.0,Treatment,0.9273285568065497
P11,0.0,Treatment,0.9273285568065497
P21,0.0,Treatment,0.9273285568065497
B31,0.0,Treatment,0.9273285568065497
A04,0.0,Treatment,0.9273285568065497
C44,0.0,Treatment,0.9273285568065497
C11,0.0,Treatment,0.9273285568065497
F01,0.5519812838134176,Treatment,0.9273285568065497
P01,0.0,Treatment,0.9273285568065497
P12,0.0,Treatment,0.9273285568065497
F11,0.3753472729931243,Treatment,0.9273285568065497
A01,0.0,Treatment,0.9273285568065497
P13,0.0,Treatment,0.9273285568065497
F31,0.0,Treatment,0.9273285568065497
P09,0.0,Treatment,0.9273285568065497
A02,0.0,Treatment,0.9273285568065497
F19,0.0,Treatment,0.9273285568065497
A03,0.0,Treatment,0.9273285568065497
F71,0.0,Treatment,0.9273285568065497
A05,0.0,Treatment,0.9273285568065497
F81,0.0,Treatment,0.9273285568065497
A06,0.0,Treatment,0.9273285568065497
U02,0.0,Energy recovery,0.0
U01,0.0,Energy recovery,0.0
U03,0.0,Energy recovery,0.0
R14,0.0,Recycling,0.0726714431934501
R11,0.07267144319344933,Recycling,0.0726714431934501
R13,0.0,Recycling,0.0726714431934501
R12,0.0,Recycling,0.0726714431934501
F51,0.0,Treatment,0.9273285568065497
P61,0.0,Treatment,0.9273285568065497
F83,0.0,Treatment,0.9273285568065497
