PAU,PAU-probability,Type_of_waste_management,Type_of_waste_management-probability
B11,0.4049496530581434,Treatment,0.9929882449989604
B31,0.02153987516266744,Treatment,0.9929882449989604
A03,0.012923925097600554,Treatment,0.9929882449989604
C11,0.2132447641104054,Treatment,0.9929882449989604
P42,0.24555457685440624,Treatment,0.9929882449989604
B21,0.01076993758133383,Treatment,0.9929882449989604
C44,0.0,Treatment,0.9929882449989604
P11,0.004307975032533661,Treatment,0.9929882449989604
P01,0.004307975032533661,Treatment,0.9929882449989604
P12,0.0,Treatment,0.9929882449989604
P14,0.006461962548800388,Treatment,0.9929882449989604
P17,0.0,Treatment,0.9929882449989604
P13,0.0,Treatment,0.9929882449989604
P09,0.0,Treatment,0.9929882449989604
P21,0.0,Treatment,0.9929882449989604
P15,0.0,Treatment,0.9929882449989604
P22,0.0,Treatment,0.9929882449989604
C45,0.0,Treatment,0.9929882449989604
P41,0.0021539875162669415,Treatment,0.9929882449989604
F41,0.0,Treatment,0.9929882449989604
C01,0.02800183771146761,Treatment,0.9929882449989604
C02,0.019385887646400708,Treatment,0.9929882449989604
A04,0.0,Treatment,0.9929882449989604
F01,0.0,Treatment,0.9929882449989604
F83,0.0,Treatment,0.9929882449989604
R13,0.0,Recycling,0.007011755001031732
A01,0.0,Treatment,0.9929882449989604
P31,0.0,Treatment,0.9929882449989604
F31,0.0,Treatment,0.9929882449989604
F81,0.0,Treatment,0.9929882449989604
A02,0.0,Treatment,0.9929882449989604
C31,0.0,Treatment,0.9929882449989604
F11,0.0,Treatment,0.9929882449989604
C41,0.0,Treatment,0.9929882449989604
F51,0.019385887646400708,Treatment,0.9929882449989604
F19,0.0,Treatment,0.9929882449989604
A06,0.0,Treatment,0.9929882449989604
A05,0.0,Treatment,0.9929882449989604
F71,0.0,Treatment,0.9929882449989604
F61,0.0,Treatment,0.9929882449989604
F82,0.0,Treatment,0.9929882449989604
P61,0.0,Treatment,0.9929882449989604
U01,0.0,Energy recovery,0.0
U03,0.0,Energy recovery,0.0
U02,0.0,Energy recovery,0.0
R40,0.00400671714344667,Recycling,0.007011755001031732
H39,0.003005037857585061,Recycling,0.007011755001031732
R21,0.0,Recycling,0.007011755001031732
R11,0.0,Recycling,0.007011755001031732
C21,0.0,Treatment,0.9929882449989604
F42,0.0,Treatment,0.9929882449989604
R12,0.0,Recycling,0.007011755001031732
R29,0.0,Recycling,0.007011755001031732
R22,0.0,Recycling,0.007011755001031732
